date,new_diagnoses,cum_diagnoses_article,cum_diagnoses,new_recoveries,cum_recoveries,new_deaths,cum_deaths,cum_tests,new_tests,adults,cum_children,new_children,cur_children,n_critical,ventilation,hospitalised,1vac,2vac,positive_percent,yandex_index,asympt_percent
2020-03-12,0,0,0,0,0,0,0,,,0,0,,,,,,,,,0.6,
2020-03-13,0,0,0,0,0,0,0,,,0,0,0,,0,,,,,,0.6,
2020-03-14,0,0,0,0,0,0,0,,,0,0,0,,0,,,,,,2.0,
2020-03-15,0,0,0,0,0,0,0,,,0,0,0,,0,,,,,,2.7,4.0
2020-03-16,0,0,0,0,0,0,0,,,0,0,0,,0,,,,,,0.7,
2020-03-17,0,0,0,0,0,0,0,,,0,0,0,,0,,,,,,0.7,
2020-03-18,1,1,1,0,0,0,0,,,0,0,0,,0,,,,,,1.0,
2020-03-19,1,2,2,0,0,0,0,,,0,4,4,,42,,,,,,1.1,
2020-03-20,2,4,4,0,0,0,0,,,0,0,-4,,,,,,,,1.1,
2020-03-21,0,4,4,0,0,0,0,,,0,6,6,,73,,,,,,2.5,
2020-03-22,0,4,4,0,0,0,0,,,0,5,-1,,49,,,,,,3.1,
2020-03-23,0,4,4,0,0,0,0,,,5,0,-5,,,,,,,,1.2,
2020-03-24,0,4,4,0,0,0,0,,,0,6,6,,52,,,,,,1.2,43.0
2020-03-25,0,4,4,0,0,0,0,,,0,7,1,,55,,,,,,1.1,46.0
2020-03-26,1,5,5,0,0,0,0,,,0,7,0,,57,,,,,,1.2,
2020-03-27,0,5,5,0,0,0,0,,,0,11,4,,66,,,,,,1.2,40.0
2020-03-28,2,7,7,0,1,0,0,,,0,11,0,,58,,,,,,2.8,
2020-03-29,1,8,8,0,1,0,0,,,0,0,-11,,,,,,,,3.4,41.0
2020-03-30,1,9,9,0,1,0,0,,,0,16,16,,69,,,,,,2.4,
2020-03-31,0,9,9,0,1,0,0,,,0,18,2,,68,,,,,,2.5,
2020-04-01,1,10,10,0,2,0,0,,,0,17,-1,,61,,,,,,3.3,
2020-04-02,0,10,10,0,2,0,0,,,0,16,-1,,56,,,,,,3.3,
2020-04-03,0,10,10,0,2,0,0,,,0,19,3,,62,,,,,,3.2,
2020-04-04,0,10,10,0,2,0,0,,,20,0,-19,,,,,,,,3.6,37.0
2020-04-05,1,11,11,0,2,0,0,,,0,0,0,,,,,,,,3.8,
2020-04-06,0,11,11,0,2,0,0,,,0,22,22,,60,,,,,,2.5,
2020-04-07,0,11,11,0,2,0,0,,,0,15,-7,,55,,,,,,2.4,
2020-04-08,2,13,13,0,7,0,0,,,0,15,0,,57,,,,,,2.5,
2020-04-09,5,18,18,0,7,0,0,,,0,12,-3,,54,,,,,,2.5,
2020-04-10,3,21,21,0,8,0,0,,,13,0,-12,,,,,,,,2.4,
2020-04-11,7,28,28,0,10,0,0,,,0,17,17,,76,,,,,,3.1,
2020-04-12,0,28,28,0,10,0,0,,,23,0,-17,,,,,,,,3.4,
2020-04-13,8,36,36,0,10,0,0,,,0,23,23,,125,,,,,,2.2,
2020-04-14,0,36,36,0,10,0,0,,,0,21,-2,,139,,,,,,2.1,
2020-04-15,17,53,53,0,12,0,0,,,0,19,-2,,133,,,,,,2.1,
2020-04-16,11,64,64,0,14,1,1,,,0,19,0,,126,,,,,,2.1,
