Регион,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",Добыча полезных ископаемых,Обрабатывающие производства,"Обеспечение электрическое энергией, газом и паром; кондиционирование воздуха","Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",Строи-тельство,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,Транспортировка и хранение,Деятельность гостиниц и предприятий общественного питания,Деятельность в области информации и связи,Деятельность по операциям с недвижимым имуществом,Образо-вание,Деятельность в области здравоохранения и социальных услуг,Другие виды деятельности
Российская Федерация,505166.60000000003,120636.8,1055572.0,173415.4,75398.0,678582.0,1432562.0,573024.7999999999,188495.0,158335.80000000002,203574.6,573024.7999999999,467467.60000000003,1342084.4000000001
Центральный федеральный округ,91744.8,8534.4,296570.4,38404.8,19202.4,209092.80000000002,443788.8,160020.0,49072.799999999996,57607.200000000004,66141.6,132283.2,110947.2,450189.60000000003
Белгородская область,10655.4,2891.0,13381.199999999999,1404.2,1239.0,6442.8,14289.800000000001,4708.2,1321.6000000000001,1156.3999999999999,1652.0,7681.8,5203.8,10738.0
Брянская область,5712.0,23.8,9579.5,1368.5,714.0,3629.5,11781.0,5117.0,1606.5,1130.5,1725.5,4343.5,4046.0,8746.5
Владимирская область,3677.1,216.29999999999998,17231.899999999998,1802.5,793.1,6128.5,11608.1,4470.2,2018.8,1153.6000000000001,2379.2999999999997,4902.8,4253.900000000001,11391.800000000001
Воронежская область,14538.6,472.8,15838.800000000001,2836.7999999999997,1063.8,8274.0,26595.0,8037.599999999999,2364.0,2127.6,2482.2000000000003,8392.199999999999,7683.0,17375.399999999998
Ивановская область,1809.5,103.4,11115.5,1654.4,620.4,3205.4,11115.5,2895.2,1034.0,878.9,1447.6,4187.7,3774.1,7858.4
Калужская область,2738.7,161.1,12726.9,1020.3,698.1,5370.0,7893.9,3383.1,1557.3,805.5,1557.3,3490.5,2899.8,9290.1
Костромская область,1798.0,62.0,6665.0,1023.0,279.0,1984.0,5022.0,2232.0,651.0,527.0,558.0,2759.0,2232.0,5208.0
Курская область,6884.9,1365.6,7909.1,1877.6999999999998,512.1,3357.1000000000004,11436.900000000001,3243.3,853.5,910.4000000000001,1024.2,5462.4,3983.0,8136.700000000001
Липецкая область,6518.2,299.0,10644.4,1375.3999999999999,777.4,4664.4,11182.6,4305.6,1495.0,1076.4,1315.6000000000001,3887.0,3887.0,8312.2
Московская область,11310.300000000001,837.8000000000001,71631.90000000001,8796.9,4189.0,41471.1,87131.2,36863.200000000004,11729.199999999999,6702.400000000001,16756.0,27228.5,23877.3,70375.2
Орловская область,3157.7,13.88,5517.3,867.5,347.0,2324.9,6141.9,2255.5,624.6,728.7,728.7,3782.3,2671.9,5517.3
Рязанская область,2942.5,160.5,10432.5,1444.5,481.5,4547.5,9844.0,3745.0,1123.5,1016.5,1498.0,4761.5,3531.0,8025.0
Смоленская область,2608.2000000000003,144.9,8742.300000000001,1980.2999999999997,579.6,3332.7000000000003,8452.5,4636.8,869.4,772.8000000000001,1352.3999999999999,4105.5,3622.5,7148.400000000001
