,1,2,3,4,5,6,7,8,9,10,11,12,13,14,utilisation
1,1287390.0,92.0,2816002.0,3724.0,60.0,15028.0,8461.0,7443.0,48795.0,57.0,429.0,7908.0,8421.0,46868.0,3299332.0
2,3398.0,1111753.0,5750397.0,882327.0,2799.0,174001.0,269490.0,126923.0,119.0,70.0,1227.0,558.0,1162.0,15112.0,9565751.0
3,1141376.0,883845.0,12487483.0,452105.0,262727.0,3317815.0,655179.0,1859379.0,347323.0,214216.0,331331.0,111813.0,360116.0,1118639.0,27811725.0
4,139192.0,389844.0,1514335.0,3194692.0,85950.0,78011.0,200326.0,416778.0,42645.0,56480.0,372180.0,162520.0,101382.0,318857.0,1643012.0
5,5864.0,14228.0,446466.0,60468.0,173868.0,16128.0,32457.0,16220.0,6559.0,4783.0,87396.0,18571.0,17454.0,91757.0,362541.0
6,22575.0,285736.0,228397.0,117016.0,26828.0,368356.0,59543.0,187963.0,16997.0,12334.0,395515.0,163337.0,112991.0,627559.0,9928523.0
7,292351.0,196230.0,3000262.0,744150.0,81356.0,774626.0,624948.0,448149.0,94369.0,64119.0,145224.0,36548.0,205444.0,373723.0,15277335.0
8,152337.0,1133614.0,2689110.0,77345.0,47154.0,332401.0,3058146.0,2530136.0,21620.0,50255.0,23045.0,19529.0,43008.0,697519.0,4339250.0
9,1156.0,8363.0,30813.0,5514.0,489.0,16976.0,22312.0,21206.0,4706.0,8771.0,1294.0,32813.0,41662.0,155583.0,1646754.0
10,7009.0,29166.0,218228.0,50409.0,4149.0,38361.0,248872.0,104385.0,9797.0,1105923.0,44833.0,55916.0,31853.0,902682.0,2345480.0
11,20740.0,353925.0,328211.0,85572.0,16705.0,111274.0,1869811.0,790852.0,182723.0,270876.0,935145.0,30485.0,62659.0,650629.0,6902649.0
12,716.0,3949.0,13088.0,3749.0,376.0,3323.0,7814.0,15145.0,384.0,3203.0,691.0,58643.0,12987.0,42454.0,4102365.0
13,1107.0,4519.0,10561.0,2868.0,654.0,2128.0,6956.0,9347.0,1472.0,2116.0,512.0,15730.0,47348.0,54286.0,4956088.0
14,215526.0,499714.0,1851939.0,303151.0,63611.0,890730.0,1787664.0,959692.0,155821.0,379357.0,396141.0,93350.0,134353.0,3510468.0,19291202.0
vds,3869506.0,12622497.0,14215328.0,2564061.0,497082.0,5340644.0,12737849.0,6743364.0,919199.0,2607431.0,9633892.0,3279619.0,3382427.0,20074261.0,0.0
rest_production,389767.0,367612.0,5754452.0,169053.0,90952.0,1073868.0,769006.0,977487.0,145883.0,417072.0,243401.0,181547.0,552425.0,1852322.0,0.0
